season,analysis_period,FlightDate,period_day,flights,disruption_rate,delay15_rate,cancellation_rate,diversion_rate
2023-2024,Jan 15-30 Baseline,2024-01-16,1,16530,57.77979431336963,44.79733817301875,12.770719903206293,0.21173623714458562
2023-2024,Jan 15-30 Baseline,2024-01-17,2,16877,31.332582805000893,25.32440599632636,5.711915624814837,0.2962611838596907
2023-2024,Jan 15-30 Baseline,2024-01-18,3,18663,22.47227133901302,19.16090660665488,3.214917215881691,0.09644751647645072
2023-2024,Jan 15-30 Baseline,2024-01-19,4,18698,40.68349556102257,35.25510749812814,5.203765108567762,0.22462295432666596
2023-2024,Jan 15-30 Baseline,2024-01-20,5,15535,21.165111039588027,19.060186675249437,1.9568715803025427,0.14805278403604766
2023-2024,Jan 15-30 Baseline,2024-01-21,6,18573,20.59979540192753,18.76379690949227,1.6637053787756422,0.17229311365961342
2023-2024,Jan 15-30 Baseline,2024-01-22,7,18559,28.46058516083841,23.864432350880975,4.353682849291449,0.24246996066598414
2023-2024,Jan 15-30 Baseline,2024-01-23,8,16472,23.87081107333657,20.367897037396794,3.2175813501699855,0.28533268576979115
2023-2024,Jan 15-30 Baseline,2024-01-24,9,16837,24.83815406545109,20.835065629268872,3.587337411652907,0.4157510245293104
2023-2024,Jan 15-30 Baseline,2024-01-25,10,18684,26.28987368871762,21.85827445943053,3.944551487904089,0.4870477413830015
2023-2024,Jan 15-30 Baseline,2024-01-26,11,18708,20.771862304896302,18.473380372033354,2.122086807782767,0.1763951250801796
2023-2024,Jan 15-30 Baseline,2024-01-27,12,15546,15.817573652386466,13.681976071015054,1.8139714395986106,0.3216261417728033
2023-2024,Jan 15-30 Baseline,2024-01-28,13,18647,17.874188877567438,17.026867592642247,0.659623531935432,0.18769775298975708
2023-2024,Jan 15-30 Baseline,2024-01-29,14,18383,12.82706848718925,12.070935103084372,0.6364575966925965,0.11967578741228309
2023-2024,Jan 15-30 Baseline,2024-01-30,15,16352,10.99559686888454,10.555283757338552,0.35469667318982384,0.08561643835616438
2024-2025,Thanksgiving Week,2024-11-24,0,21110,15.201326385599243,14.855518711511131,0.2273803884414969,0.11842728564661299
2024-2025,Thanksgiving Week,2024-11-25,1,21003,14.388420701804506,14.126553349521497,0.19521020806551445,0.06665714421749273
2024-2025,Thanksgiving Week,2024-11-26,2,21186,15.769848012838667,15.387520060417256,0.25960539979231567,0.12272255262909468
2024-2025,Thanksgiving Week,2024-11-27,3,21285,16.34954193093728,16.133427296217995,0.08926474042753113,0.12684989429175475
2024-2025,Thanksgiving Week,2024-11-28,4,11212,8.544416696396716,8.446307527648948,0.0,0.09810916874777025
2024-2025,Thanksgiving Week,2024-11-29,5,17668,13.374462304731718,13.306542902422457,0.01697985057731492,0.05093955173194476
2024-2025,Thanksgiving Week,2024-11-30,6,20580,22.244897959183675,22.103984450923225,0.06802721088435373,0.0728862973760933
2024-2025,Thanksgiving Week,2024-12-01,7,21764,23.189671016357288,22.849659988972615,0.23433192427862523,0.10567910310604668
2024-2025,Christmas Week,2024-12-21,0,19492,35.20931664272522,33.82926328750256,1.1902318900061564,0.18982146521649906
2024-2025,Christmas Week,2024-12-22,1,20320,22.957677165354333,22.573818897637796,0.2559055118110236,0.1279527559055118
2024-2025,Christmas Week,2024-12-23,2,20402,16.611116557200276,16.37584550534261,0.1225370061758651,0.1127340456817959
2024-2025,Christmas Week,2024-12-24,3,15584,28.137833675564682,26.161447638603697,1.0844455852156056,0.89194045174538
2024-2025,Christmas Week,2024-12-25,4,15682,9.737278408366281,8.965693151383752,0.6057900777961995,0.16579517918632827
2024-2025,Christmas Week,2024-12-26,5,20274,32.93873927197396,29.155568708690932,3.2603334319818487,0.5228371313011739
2024-2025,Christmas Week,2024-12-27,6,20301,30.358110437909463,29.461602876705584,0.6058814836707551,0.2906260775331264
2024-2025,Christmas Week,2024-12-28,7,19463,39.197451574782924,37.09089040743976,1.6903868879412218,0.4161742794019422
2024-2025,New Year's Week,2024-12-29,0,20203,42.335296738108205,40.226699005098254,1.564124139979211,0.544473593030738
2024-2025,New Year's Week,2024-12-30,1,20309,18.89802550593333,17.982175390221084,0.526860012802206,0.3889901029100399
2024-2025,New Year's Week,2024-12-31,2,16607,16.16788101403023,15.276690552176794,0.39742277352923466,0.49376768832420065
2024-2025,New Year's Week,2025-01-01,3,16827,15.582100196113387,15.249301717477861,0.2139418791228383,0.11885659951268795
2024-2025,New Year's Week,2025-01-02,4,19640,17.790224032586558,16.726069246435845,0.4684317718940937,0.5957230142566191
2024-2025,New Year's Week,2025-01-03,5,19358,27.353032338051452,26.68147535902469,0.5269139373902263,0.14464304163653272
2024-2025,New Year's Week,2025-01-04,6,18544,30.98037100949094,29.432700603968936,1.2295081967213115,0.31816220880069024
2024-2025,Jan 15-30 Baseline,2025-01-15,0,16044,6.980802792321117,6.8748441785091,0.08102717526801295,0.02493143854400399
2024-2025,Jan 15-30 Baseline,2025-01-16,1,18542,13.11616869809082,12.722467910689245,0.15640168266637902,0.2372991047351958
2024-2025,Jan 15-30 Baseline,2025-01-17,2,18415,12.473527016019549,12.283464566929133,0.10860711376595167,0.08145533532446375
2024-2025,Jan 15-30 Baseline,2025-01-18,3,14690,12.443839346494213,12.246426140231451,0.06126616746085772,0.13614703880190604
2024-2025,Jan 15-30 Baseline,2025-01-19,4,16874,27.776460827308284,22.55541069100391,4.758800521512386,0.46224961479198773
2024-2025,Jan 15-30 Baseline,2025-01-20,5,18595,32.62705028233396,30.153267007260016,2.3608496907770906,0.112933584296854
